Timestamp,Rail_Width_cm,Rail_Length_cm,Angle_deg,Ballast_Deformation_cm
2025-04-15 23:37:04,0.0,0.0,-30.88,8043.91
2025-04-15 23:37:05,0.71,16.12,28.3,5174.47
2025-04-15 23:37:05,0.47,10.75,5.2,4854.71
2025-04-15 23:37:05,0.35,8.06,-14.96,6341.44
2025-04-15 23:37:05,0.28,6.45,-0.5,6003.95
2025-04-15 23:37:05,0.28,6.45,19.44,5325.46
2025-04-15 23:37:06,0.0,0.0,-1.53,7333.43
2025-04-15 23:37:06,22.6,28.88,-1.09,7456.4
2025-04-15 23:37:06,22.6,28.88,13.11,6521.3
2025-04-15 23:37:06,22.6,28.88,-14.4,6131.43
2025-04-15 23:37:06,22.6,28.88,-17.05,8795.02
2025-04-15 23:37:07,22.6,28.88,-14.46,6635.31
2025-04-15 23:37:07,0.0,0.0,-1.89,6145.57
2025-04-15 23:37:07,0.0,0.0,7.71,5450.36
2025-04-15 23:37:07,0.0,0.0,15.73,6141.49
2025-04-15 23:37:07,0.0,0.0,14.68,4398.93
2025-04-15 23:37:07,0.0,0.0,30.04,5675.7
2025-04-15 23:37:08,0.0,0.0,22.47,5893.48
2025-04-15 23:37:08,0.0,0.0,28.47,6356.6
2025-04-15 23:37:08,0.8,12.62,19.23,5578.72
2025-04-15 23:37:08,0.8,12.62,3.6,5123.51
2025-04-15 23:37:08,0.8,19.71,-28.88,5762.14
2025-04-15 23:37:09,0.8,19.71,-42.38,6437.75
2025-04-15 23:37:09,0.8,19.71,-53.71,6907.51
2025-04-15 23:37:09,0.0,7.09,-40.58,7812.6
2025-04-15 23:37:09,0.0,7.09,-27.65,8175.6
2025-04-15 23:37:09,0.0,0.0,-18.27,7179.21
2025-04-15 23:37:10,0.0,0.0,-19.26,8270.58
2025-04-15 23:37:10,0.0,0.0,-20.78,48002.64
2025-04-15 23:37:10,0.0,0.0,1.03,49440.02
2025-04-15 23:37:10,0.0,0.0,-8.47,49156.64
2025-04-15 23:37:10,26.09,35.76,8.82,48912.83
2025-04-15 23:37:10,26.09,35.76,17.0,46992.3
2025-04-15 23:37:11,28.0,37.81,10.75,6220.58
2025-04-15 23:37:11,28.0,37.81,1.77,3594.41
2025-04-15 23:37:11,29.67,43.43,-10.64,2652.62
2025-04-15 23:37:11,4.33,12.15,-35.39,1908.59
2025-04-15 23:37:11,4.33,12.15,-20.05,1451.87
2025-04-15 23:37:12,2.42,10.09,-4.5,1167.85
2025-04-15 23:37:12,6.49,15.67,-4.54,1148.14
2025-04-15 23:37:12,7.51,13.2,16.23,741.19
2025-04-15 23:37:12,8.54,14.15,46.51,702.09
2025-04-15 23:37:12,8.54,14.15,44.14,876.09
2025-04-15 23:37:12,8.54,14.15,17.36,1153.86
2025-04-15 23:37:13,4.47,8.57,3.28,1300.71
2025-04-15 23:37:13,1.78,5.43,0.08,1618.54
2025-04-15 23:37:13,0.0,0.0,-5.35,1621.57
2025-04-15 23:37:13,0.0,0.0,-22.73,1535.99
2025-04-15 23:37:13,0.0,0.0,-17.33,1347.73
2025-04-15 23:37:14,0.0,0.0,-2.59,1287.69
2025-04-15 23:37:14,0.0,0.0,0.58,1084.21
2025-04-15 23:37:14,3.51,4.42,-0.68,1136.41
2025-04-15 23:37:14,3.51,4.42,16.97,1250.41
2025-04-15 23:37:14,3.53,9.38,45.14,1503.97
2025-04-15 23:37:15,3.53,9.38,51.14,1691.86
2025-04-15 23:37:15,3.53,9.38,46.72,2048.42
2025-04-15 23:37:15,0.02,4.96,41.35,2337.73
2025-04-15 23:37:15,0.02,4.96,45.66,2437.8
2025-04-15 23:37:15,0.0,0.0,31.71,2391.05
2025-04-15 23:37:16,0.0,0.0,16.95,2346.47
2025-04-15 23:37:16,0.0,0.0,6.87,2203.04
2025-04-15 23:37:16,0.0,0.0,0.7,2081.63
2025-04-15 23:37:16,2.87,5.97,4.48,2220.65
2025-04-15 23:37:17,5.33,8.83,-5.65,2162.46
2025-04-15 23:37:17,5.33,8.83,2.33,2211.3
2025-04-15 23:37:17,14.57,22.69,0.94,2118.21
